,sdg,performance
8,sdg9,28.61205206400569
16,sdg17,41.80463226923577
4,sdg5,52.45222678757857
7,sdg8,53.71862784198973
3,sdg4,54.350157760401984
5,sdg6,58.52376932854249
9,sdg10,60.06076308280185
1,sdg2,60.845693966486806
13,sdg14,65.62721448436015
14,sdg15,70.08787229525065
0,sdg1,71.52714560248822
15,sdg16,71.75587178037668
6,sdg7,72.6798666219757
2,sdg3,73.00398397557743
10,sdg11,73.11010400449217
12,sdg13,75.93583800643131
11,sdg12,85.75154345185402
